zFish(00:00:00): 学员录制了OK，然后现在应该开始录制了啊。就是从那个呃。
zFish(00:05:15): 三点结束，然后剩下那一根一根柱子里面都有可能。如果换成分时图的话，他也不停在涨跌。那你在里面的时候，你其实一直犹豫。而尤其你看这一波。就我我现在这个十字这块儿，鼠标这个位置，它是要跌的很惨。

zFish(00:05:34): 然后然后你在里面会怎么办呢。你会不会犹豫，因为你看不到后面后面这么大的涨幅，然后你觉得这玩意儿是不是到头了。因为你看我如果再再回顾一下，股民特别喜欢看这个这个这个这个这个。平行的线就是就是如果以这个为头，它开始跌了，他就会想上一拨挨上一波。是在。

zFish(00:05:58): 零九年到一零年之间这个高峰，哎他们想会不会就在这这阶段是一个周期流逝结束了。所以很多人会在里面去卖。

zFish(00:06:08): 然后哎今天你们市场又在打嘞，他又来找这边，越来越越来越大跌，然后又在这儿涨跌。每天都在里面的时候伤着神经，从紧张到忙到麻木。然后他是一个渐渐变的过程，然后最后最后怎么说呢。

zFish(00:06:27): 呃我说一个更恐怖的事儿，就说你看到的是上证指数，但是你只要在里面买的是一个具体的股票或者具体的基金。如果你买一个具体的股票的话。

zFish(00:06:40): 只要比比这个情况要更恐怖，因为指数必须是很多股票的组合，它是变化没有那么那么大的。再加上再加上很多人犯了一个历史锚定错误。啊就是一种心理效应，它毛弟子一直在，比如说他某个地址一直是，你就把它放大看一下，就说这个就是我有点卡。然后再拉大一点，

zFish(00:07:08): 当时一当时一个奇怪，就是说涨到五千点的时候很多人想吃啊都五千点了。上一轮儿零八年是六千点。五千点到六千六千点轻而易举吗。然后就说啊就是要上一万点，然后市场充斥充斥着各种利好消息，然后比如说政府的任何决策大家想的都是就是利好啊就是跟那个比特币是一样，因为后面就是大辽加密币投资啊比如说亏钱是甲米比也有。

zFish(00:07:37): 但是我没怎么玩加米，但我知道这个这个这这个群里面也有很多完毕的完毕的人嘛然后。大家大家应该OK还有一些事要记得，直播怎么不需要邮寄了，晚安。OK然后。

zFish(00:07:56): 呃然后怎么说呢，就是说你看到的是6000年的时候，实际上有一个情况就是外部市场环境已经变了。

zFish(00:08:07): 你要知道07年08年中国GDP在腾飞的就是宏观宏观经济吗。当时那个房地产也也开启了那个四万亿救市计划嘛，然后就是货币也在。

zFish(00:08:20): 爆炸，然后这轮环境的流失跟着论环境流失是不一样的。这一轮而是因为杠杆长。二佩斯我记得当时阿里巴巴有个恒生，那个金融恒生电子还是啥，他有他有一个软件叫。

zFish(00:08:34): Home还是啥那个软件可以去分差，然后可以把这个账户切分成很多小的仓位，然后场外配资，然后一些一些一些代理公司，代理公司然后一直去卖杂货，然后给个配置配20倍杠杆，其实这波这波牛市的终点也是当时应该是中国租车，吧，然后一个老父亲为了她的女儿，然后。

zFish(00:08:59): 呃要出国还是少，然后他自有资金100多万带到了这个七八百万吧。然后买了中国中车，当时拿车给他一合并就是租车，然后巨无霸天天涨停，然后我我认识一些朋友也也在追追追着中国足球，然后赚了也有一辈子这个收益，这当时50多万发到100多万。

zFish(00:09:19): 然后这之后呢最后全部亏回去了，赚的钱全部亏。这是后话。然后就是当时这个股民也看到这个事儿了，他们想每天都在涨停，我拿这个将近十倍的杠杆，只要一个涨停就翻倍了，我那么多钱，我带上她她的确刚开始赚了一点，然后很快这个中国中车就开始崩了。

zFish(00:09:40): 然后这这个人就跳楼了，然后因为这件事儿就引起了***的这个重点关注，开始严查草案配资。

zFish(00:09:49): 你想你在里面的时候，你听到这个消息你会怎么想啊。这就是一个就是一个人跳楼而已，然后这个距离整个流逝结束还远着呢。所以。

zFish(00:09:58): 大家想的是没有那么夸张，然后然后后面就是一切崩塌了。只要这个杠杆一旦泄的太快了。

zFish(00:10:06): 然后就会非常的恐怖，里面的根本出不来天天的，而且在里面有另外一种就是说股市里面有非常多的亏欠手段。当时亏亏的一个重点应该是一个。中信正确的啊，我我已经报不了这个。这个股票没什么，过去。这个东西怎么怎么怎么亏了。然后给他看一下我是如何亏钱的。这让我至少亏了有。百分之五十五十左右吧，而且我是要拿的是大桶这个这个也是最终让我让我让我让我那个这个这个亏亏的非常的惨重。

zFish(00:10:53): OK然后我看一下这个，我就因为因为因为。因为现在我的操作的方法是一般不会去看这些东西的，所以所以视频看啊这个股票也比较有意思啊。感觉我们拉拉到最最最最最底下，看看005年是怎么样的来个这玩意儿是负群马岐阜全。

zFish(00:11:28): 对，我们来看一下后复权吗。都不学了，你让大哥真实的了解到它的那个价格吧。

zFish(00:11:41): 哦上午我当时买这个也是基于哈因为任何一个贾梅先进市场，呃这始终是乐。配图然后你进去的时候，看到的是看到的是。

zFish(00:11:58): 008年这一轮楼市，最近的就是零八年吗。

zFish(00:12:01): 一个大牛市。然后实际上中间也有一波小牛市，然后包括创业板有自己独立行情，结构性流失。那你这个大牛市你你关注的时候是上一次你这人很容易犯这个错误，他没有上一次去指导下一次，但实际上很多时候他他他跟你想的不一样，上次跟下次不一样，他上次上是零八年。

zFish(00:12:23): 你零八年中信证券应该是如果你看价格的话，你会发现这边儿偏近于零。哦在这边儿找到了120。

zFish(00:12:32): 所以出四块，当时说一个月发了有30多倍吧，还是28，B3330 倍还是，28倍然后是一个非常猛的一个股票的上涨，流失然后他是证券板块儿吗。然后只要流失一来，就这些板块始终是流失的，这个冲锋号角的，因为凡事一旦一首他有可能是一个牛市。

zFish(00:12:53): 这些公司肯定在里面赚的钱是最多的，所以所以每次这证券板块始终就是先流失。而且这样如果如果你跟上证指数，然后然后再一块儿去在一块儿去呃OK啊那就来吧。

zFish(00:13:10): 然后去弄的话然后他他总是歇息的，所以一开始你看这个辟邪图里面也是逐渐这些暴涨吗。然后尤其JJ一个月也是爆炸到了非常恐怖的那那我进去以后，然后主角的这个家族。

zFish(00:13:26): 而且我采用的是到底是哪家仓。就是一开始投入的少，然后随着那个心情剧烈的起伏，然后然后随着你的研究逐渐深入，你觉得这玩意儿越来越好，然后也不断加仓20张，此时价格已经涨到高点了，你的仓位。

zFish(00:13:41): 小头在在下边，大头在上面。上面的成本已经非常高了，然后后面就是不行，就是一直不找这个电脑在找。然后就发现他他一直。嗯，跟刘诗，别的呃别的板块一直在涨，但是这个证券板块儿消停了很长一段时间。所以嗯呃。所以在上面在上面亏的比较多。然后然后这这件事情让我意识到。

zFish(00:14:09): 让让让我还是做了很多反思的。然后后面就是说这个牛是因为呃包括我们一些客户也亏钱了，然后客户亏损的这个方法也非常的奇特。这里面最最多的也是一个叫分级B的一个分享，分级B中级比。

zFish(00:14:27): 我觉得说这个具体品种也没有什么意义啊。就飞分级B也自带杠杆。分级币好像有三倍杠杆，然后一个一个人如果长期配置，然后给了。

zFish(00:14:37): 我觉得我被到时别杠，自己再搞个封闭，然后再来三倍杠杆，然后有些人的钱还是贷款贷的。然后那个杠也是非常的恐怖的。分级BB带杠杆属性的特点就是暴涨暴跌。

zFish(00:14:51): 然后而且他有个最奇葩的属性，叫夏夏折，然后下折上折。这玩意儿一旦折的话就是阿哲。这他一旦折起来以后一天可以亏50%以上。

zFish(00:15:05): 然后就因为在学在当时的巡视不是跌了吗。然后呃他他一旦下去以后，价格会非常的低，然后将近零点二，两毛钱一个呃一个呃就是嗯你一个最最小单元是两毛钱，那很多人看着他之前一直在暴涨嘛这么便宜了。他不懂这个这个这绝绝对是因为疑虑，疑虑他不懂然后就就就买进去了，然后一个人说。把自己结婚的钱然后20多万买，买到一个复印店里面，当天就亏了一半。儿。

zFish(00:15:38): 然后打电话哭着跟我们说然后怎么办。

zFish(00:15:41): 我就没办法。因为因为他一旦折了以后，当天你买这吃，第二天然后就是再过几天你就会收到收到你的钱会少一半的消息，然后它会进入进入一种折算期，然后最后价格又会回归到一块钱是两两毛变成一块但是你的钱已经亏没了，因为他把价格重新呃成分重新调整，主要就是因为。因为它本身上这这里面反映到一点啊，就是分级币下载。这个机制本来是为了保护股民的。

zFish(00:16:13): 就是保护了分级a，因为他既然是B的话肯定自然而然就有a，然后有个母基金，然后分成a跟B，然后为了保护ad这个权益a有点偏向于这个债券，然后给B借钱，所以B的杠杆就是这么来的，然后为了保护a然后就就就要陛下者，然后保持这个这个他有时候也会上，这也为保持杠杆率然后下车是为了防保保护这个a的这个权益嘛所以就就这个东西，然后让很多人产生。

zFish(00:16:41): 大人，可是这个事儿最后***然后规定然后非专业投资者不可投资这个品种。然后现在必须30万还是50万以上的这个这个持仓金额才能开通这个权限，而且现在这东西也没法玩，因为都是专业玩家，然后这边这个傻货少了以后他也就没有什么意思。

zFish(00:17:02): 呃之后的话就是说我在产生亏损以后，然后我就。看了一些书吗，然后我给大家看一下，就说像我我还是比较。对这个事儿的影响还是比较大的啊。稍等一下。女生，我生气了，然后再唱我知道。

zFish(00:17:30): 这里面也有啊就有很多书，我记得当时一个一个一个一个书，然后呃大概我看了有很多本儿书吧。这个。

zFish(00:17:43): 呃最后也也也利于有利于那些书里面的一些介绍，然后去去分析啊然后一些一些东西确立确立了确立了整个一个Excel，然后这个Excel然后之后就会会帮助我去分析一些指标呢上面这个这个这个这个这个横条里面，然后有很多数据吗，然后具体性的就是说在在作品。

zFish(00:18:10): 啊这个这个当时是我我花了花了大概有几个月时间吧，然后通过一些书里面然后把这个指标给列出来呢，的确的确是有效果的，但是非常的耗时间，所以之后我我觉得是让你拿如果你钱比较少的话，你在一直一直浪费你的时间上非常大的事情。所以所以最后就采用这个指数，基金也也就产生了慢慢整个投资组合，然后然后去做做。

zFish(00:18:39): 指数的投资，一个实际上如果你把投资作为一个长期去做的事情的话，你要做的最重要的事情一方面是你有正确的策略就是说你对投资有正确的看法，然后另外一点就是说你要去长期去投资，然后然后就是比较重要的是你需要有源源不断的本心。

zFish(00:18:59): 如果你的本金足够大的话，可能就几百万没有问题。但是如果只有几十万，然后小几十万或者说是五六十万。五六十万也还可以是个不错的起点了，如果你用十几万或者是几万块钱甚至有人有人拿着几千块钱玩的不亦乐乎，那你在这里边儿上根本根本赚不了多少钱，自己算笔账就可以知道吧。那我就我记得我当时最早最早最早时期做这个计算。就是那边说了吗，说你有那个。你有25万，然后你花15年时间，如果你能到百分之十十五的这个投资业绩。然后那你的这个最多然后15年以后能可以到。

zFish(00:19:39): 将近两百两百多万吧，所以本金本金如果小的话与投资收益率高，如果你不急高的话投资是可以的。但是15%有是一件非常困难的事情。

zFish(00:19:53): 没有那么简单，我记得我当时我做了一个我做了一个我做了一个稍等一下，我写了篇文章还没有发布，我可以给大家晒一下，就是呃。想不到。这篇文章这篇文章做了一些数据分析，然后再阐述这个事儿有多么的困难。

zFish(00:20:27): 脑袋上我知道哦就是。

zFish(00:20:36): 呃如果这是我对那个呃将近有25个指数，然后做了一个一个一个零四年到202 0大概15年时间左右的这个。怎么又有一些人。

zFish(00:21:07): 有人在聊天儿吗。然后然后对她做了一些分析。这个分析的话。

zFish(00:21:17): 发现烧挺难的，如以上这个武林为例，它就是上海呃证券交易所上这个。然后他他的头部前50个应该是指包括一些业绩都很牛逼的50家公司。你可以理解为它就是中国最优秀的一部分公司，然后组合的这么一个指数，然后他。

zFish(00:21:39): 那种刷均线策略，然后我我为了做一个测试啊我，一方面我要知道你一直拿这个指数然后你能赚多少钱。另外就是用双线双均线你可以赚多少钱，还有还有就是说15%然后一直15%的增长，然后最多可以达成的效果可以看看。15%的收益率是这条曲线，15年时间以后，15%都已经涨了很多遍。

zFish(00:22:05): 但是上证五名如果你一直拿着，就是最下面这条线的，最下面你刷六限制确实，跟随策略他可以比他高一些，但离15%还很遥远。

zFish(00:22:16): 15%是很难拿的，护士300就是前300个公司，然后上海和深圳，哪个交易所的最牛逼的三个公司。然后哎双均线策略勉强能够到达一点，但是也低于15%。

zFish(00:22:31): 如你如果一直死拿着不动的话，你经历过两轮牛市，只是只有三四个流失。然后它它也比较低。但如果充值500的话，哎充值五百一直拿着也不行，是中国最牛逼的五百五百家公司，你这个指数有个好处，就是说这个公司可以可以被移除，也可以被加入进来。然后他一直在滚动，一直代表中国的这个。

zFish(00:22:53): 经济的这个这个这个这个这个这个代表吧。然后嗯。

zFish(00:22:59): 那前500家公司的好处，因为你一直打五十五四十二很多时候就是中投那些国企的厂子有点儿差吗。但是就这500代表就抛出前面300个中国的中部中等公司规模，然后他们的这个收益率其实你发现如果你刷车策略可以战胜15%，但是你如果一直拿着还是不行。

zFish(00:23:21): 创业板的话就是代表着中国的这个各种小公司比较创新，给他查的然后炒作也比较长。嗯。起码反正就说他喜欢吵他。

zFish(00:23:30): 你如果一直拿着你依旧战胜不了导致失误。然后是让你如果用双均线一勉强可以说是恒生指数，是香港的指数。如果你一直这么搞的话是不行的，永远不行的。

zFish(00:23:41): 15%远远甩开的双均线功能一直拿得多标普500美国的纳斯达克也不行你看纳斯达克虽然看起来长得非常的猛，年年都在涨，但是距离15%依旧很遥远，所以巴菲特的这个年复合增长率，然后在他年老的时候大概也就15%左右，但是已经很牛逼了，要远超指数。

zFish(00:24:03): 所以巴菲特说的普通入门指数，它说的是普通人。对他来说，他肯定不会买指数的。嗯普通人都有色儿，嗯最适合的就是指数。

zFish(00:24:13): 然后你而且你看吧，再说这个是有道理的。如果你在美国你一直拿着指数是要给双均线策略要好的。因为当一个指数不断的在上上涨的时候，他他他的大趋势就是上涨，如果你一直在里面来回做买入卖出的操作，你肯定收药的一直拿着不动。

zFish(00:24:32): 所以所以所以这个图其实反映了很多信息，但是中国的这个情况还不太一样，就是创业板一会儿爆炸一会儿暴跌操。那收据收据双曲线这种策略是非常适合的，一会儿就就就就会炸死你一直拿着不动了嘛。所以所以就是这个这个文章啊应该是月底会发的吧。然后应该有大量的信息，大家可以看看这个最牛逼的我我把这些指数然后25个全部测试了以后，然后选出可以架设15%剩余的这些指数这些大都可以猜到。

zFish(00:25:02): 注射500然后快把医药消费信息都是三大三大牛逼指数然后银行银行其实也不错，然后电信啊中国的工业工业其实其实也也没那么差。然后这些都可以占15%，而且这个QQ没想到很牛逼，就我一开始想到这凭空竟然会炸死。

zFish(00:25:21): 然后说军校要比，那个你一直拿着不动的，然后有这么多。然后通过一个公式，最后得出一个清单，这些指数特别的强。然后然后。

zFish(00:25:33): 就是这些记录，这篇文章应该没发啊可以看一下。然后我最后把它那个夹到了这个双均线，这个策略提醒提醒没用啊杂未来的组合可能会使这种策略。然后所以。所以在我这在这个系统里面，它也加入了这几个支付上面的拉拉ETF。其实就是这里边。

zFish(00:25:57): 最强的一些指数，然后再用刷兵线，然后的一些一些提醒。所以最后面就是一些其他的天赋。

zFish(00:26:07): 然后觉得这些都已经搞了，这就是我这就是我从如何亏钱到找到自己的策略。那些路子我我长的时间有点久了，一不小心就长成30万。呃现在也没有新的游戏了，大家可以聊一下。这是我的亏欠，第二就是我是从那个。

zFish(00:26:29): 我我的股市结业啊，但我觉得有很多人其实不做这个投资。然后但是他有可能有十页，然后有比如说你有一些实验啊然后。

大妈/ZoomQuiet(00:26:41): 不是，但其实你只说了你的啊我我最想听的是啥呢。因为你在这行业里头，而我们中国这个叫啥。

大妈/ZoomQuiet(00:26:48): 开放投资市场时间并不长，对吧。我好像就是八八十年代之后才有，也就是说这行业的人其实从业人数也不老少啊。你无论你是实业，房地产还是加密，这都属于投资行业。投资行业的从业人数也是超过千万级别的，也就是说这世界上并不是就你一个中国人在私人搞这种投资，你也见过很多，对吧。无论是机构是个人企业还是专门的咨询公司，投行投资公司呢，他们在你这个叫亏钱的过程当中都是怎么熬过来的呢。

zFish(00:27:28): 呃据我所知，比如说如果说是公司的话，一五年其实啊很多公司倒闭了，一些小公司直接倒闭吗。然后你如果去看那个。呃有一些那个就是启信宝的一些那个公司的注销记录就可以看出来。一五年其实有很多公司。

zFish(00:27:48): 被注销了，然后包括在深圳前海里面有很多金融金融公司注册的。当时我们在在一个地方，然后认识一个思路，他们也他们他们也也有就是基金经理，然后投资顾问，er操盘手这些角色都有。

zFish(00:28:05): 然后呃在在在那次刘氏呃就是崩盘以后，也也也也不行，也产生巨幅亏损，然后就有一堆烂摊子。恶一五年趋势包括这个就是做了股票，做了15年投资经验的人。然后他当时在那个一五年赚了有1000多万吧。然后最后也亏得剩不了多少了。

zFish(00:28:29): 但是他们有一点好处是本金没有亏损，而很多新手进来的话是本金产生了大幅亏损。

zFish(00:28:35): 不过你说的呃这个这个呃投资市场的这个参与决策其实也非常多，呃一五年待播的话。

zFish(00:28:45): 呃从那个不同的这个角色嘛，也是上市公司的呃管理层有比较奇葩的现象。就是说上市公司管理层最典型的就是了是吗。然后他们那个呃各种治家自己的股份，然后用来融资，用来去去扩大经营吗。

zFish(00:29:02): 然后但是因为二级市场，然后股价崩了。因为你是以你的这个股票作为质押的。然后管理层把自己的股票质押。质押质押出去以后，因为股价低于那个就是他的预警线，然后直接被平仓了。然后本来给他们那个融资的这个人变成了他们公司股东了，那管理层突然发现自己失去了对公司的管理，管理控制权。像这种的话也也有很多。这是这是对对公司的一些影响。另外一些就是。很多股民亏了以后，亏了以后默默熬着呗。然后又像又像零八年一样。啊那些那些那些买了40块钱买中石油，到现在中石油还十块钱。不知道十几始终一直在被套，要不就搁着吧。然后然后离开这个市场，要么就一直在里面哇。

zFish(00:29:58): 而且其实而且这个这个我觉得呃你如果做过的话，应该应该可以。就是说这个大的历史都是这样子的。你如果在里面玩了，比如说。

zFish(00:30:09): 呃运气好然后赚到一部分钱，遇到一个流失然后可以遇到熊市以后你没有逃开，产生了大的亏损。

zFish(00:30:17): 然后此时你有两个选择，要么离开，要么继续玩。然后大部分人选择了然后不玩了吧，亏就亏了亏了亏了百分之几十啊，要不就一直在里面放着躺着不动，然后等待下一次。

zFish(00:30:32): 呃但是有些很简单的策略。上次那个这里面也流传很多故事吧，因为大妈然后去。

zFish(00:30:40): 呃忘记自己的丈夫比完了然后经过若干年以后，然后然后最后赚了很多钱。最后我在我在营业部开户的时候碰到一个大妈，她就是从那个。

zFish(00:30:54): 美国回来，然后当时在西安，然后说哎自己也他倒不是王乐这个密码这个扯淡。然后但是他是一直在国外，然后不方便操作，然后。

zFish(00:31:06): 呃回来以后他这个账户已经有十几年的历史了。然后最后发现也赚了挺多钱的。就比大家都一直在里边玩儿，反正赚很多钱的经验就是。

zFish(00:31:16): 呃这这个经验告诉我们，长期投资可以赚钱。另外一点就是说你得学你要不买指数，然后买到一个比较正常的指数，有一些指数都开始衰退了。那最简单的就是说你如果买了一个。买了一个能源啊，我看一下能约是吧。

zFish(00:31:38): 冷月如果你一直拿着啊零八年暴涨，然后到后面一路走跌一路跌一路跌一路跌，拿到证肯定会亏。

zFish(00:31:45): 所以你要持续拿到是一个你的运气不要很糟糕，然后长期投资。然后然后不要怎么乱乱操作，要跟房地产一样。房地产很多人买了以后，然后又因为真的不好交易，然后是所以他也差不多赚到钱，而是房地产自带杠杆。那你要赚到钱的秘诀就很简单，你首先。

zFish(00:32:05): 在可承受的范围内上杠上杠加，那个长期投资是可以的但是一定要控制好自己的风险嗯

大妈/ZoomQuiet(00:32:10): OK啊这些书的其实都是要有足够的这个叫资本基础才能进行的。但其实后来你说你离职之后，开始四人四人座，那这个其实大家最感兴趣。那么结合的是啥呢。就是有投资经验之后啊，那么如何用技术来教降低投资，或者说是什么叫流量变现的这个成本啊那么这个过程当中一定会碰到很多，技术难题，那么就不得不上这个叫学习手法，这一块儿现在到现在为止就是应该其实大家感觉你。

大妈/ZoomQuiet(00:32:43): 就是普通人啊，一个有有毅力有有基础的普通人如何通过技术啊然后呢。进入或者说是啊透过这个骰子，无论哪种投资方式。

大妈/ZoomQuiet(00:32:56): 让自己获得这个叫睡后收入对吧啊因为普通人你你现在啥无论是靠国家靠职位靠企业啊创业什么的其实都都不靠谱。你你想你想叫什么呃不叫退休或者说失业了之后呢，有有一个维持尊严生活的一个稳定收入，只能是靠靠叫啥来着。

大妈/ZoomQuiet(00:33:18): 税后收入对吧无论是你创造艺术品啊作品啊或者说是有个自动自动投资或者自动什么增值的什么东西。无论如何，你得有这个东西才有可能安心的这个叫叫退休啊。否则的话这是不可想象的一件不是事，可想象的一件事情啊。除了饿死在街头，普通普通人没有任何什么其他的结局啊所以这是大家一个一个焦虑，其实都是冲着怎么安心养老啊在各种各样的折腾啊，无论是学习技术还是投资，不过现在看起来这个群主是好像是找到了这种比较好的这个这个。

大妈/ZoomQuiet(00:33:56): 啊对对就是通过持续不断的学习技术，啊透过技术去建立起来这种有稳定的这个叫睡后收入的这个叫投资方式，或者说这个叫盈利方式。那这个实际上是大家可以共同一块儿找，而且现在的根根据之前分析东西，其实现在。

大妈/ZoomQuiet(00:34:17): 这个互联网或者是互联网后的这个世界，他是支持个人通过合理的技术组合完成这种架构的。因为我们并不打算是变成一个千亿级或者说叫叫什么啊那个那个那个独角兽级别的啊只要是确保一个月稳定的，比如说3万收入也够了。啊那这以这种极低的这个叫但是稳定的这个长期收入为目标。

大妈/ZoomQuiet(00:34:43): 啊那他这个学习和技术怎么看巧呢。啊这个你应该一直在思考和实践这方面的事情，对吧。

zFish(00:34:59): 对其实刚那个大妈说的这个这个其实就是普通人总在里面玩儿。因为你知道那些鸡我知道那些牛逼了也没什么卵用。一方面他们有自己的机缘巧合就是说白就是身子走，如果你伸手你感化和红利互联网红利，房地产红利，那那那当然一波就躺赢了。但是现在对很多人来讲难点就在于。一方面自己赚的少，另外一方面就是说如何去把。

zFish(00:35:28): 这是比较少的本金，然后通过投资然后去放大。

zFish(00:35:31): 那那我我对这个问题的思考，因为我也面临这个问题。首先我也没有没有参与什么房地产的红利，然后也没有参与那个。

zFish(00:35:44): 呃什么互联网的红利，我说的红利就是真的人人可以一波塔用那种。就特别早期买房那种，因为我们毕竟是的也没有那么早。然后然后也不在一线城市，然后参与什么公司上市啊这种，那你那你的机会显然就非常少。

zFish(00:36:00): 那问题怎么玩呢，我我其实一直在思考这个问题，包括这个博客，这个博客应该是。

zFish(00:36:07): 从一九年开始我去认真研究这个问题啊因为前面其实都是一些零散的一些实际。然后然后之所以定这个标题啊，她说边PN是啥。这很简单啊，就是这英文翻译是中午吗。

zFish(00:36:24): 阅读输入吗，然后呃我最早期一个思考就是，其实这个logo这个logo怎么来的。这个logo其实就是。就是我当时想的是下面是学习，中间是技术，后面是那个。投资嘛，然后一个普通人该怎么办呢。他他能做就说学一些知识呗，然后因为因为因为因为你。

zFish(00:36:49): 你我我始终觉得就是说你现在大家都市场一直在学习吗学各种东西，那你首先得要成体系的学习，自己有自己的一套方法论去学习这个这个这个就是我对自己的一些经验的学习，经验的总结，比如说我要学我要学一个领域，然后另外就是说技术这一块，技术这一块儿当然就是我不是其实做是做技术的，所以。

zFish(00:37:12): 所以所以所以自然也有技术。那以后我不做技术做运营或者我做别的啥，那你那你自己擅长的一方面。我觉得最底层是你的学习，然后中间肯定是你下场，如果你上技术，那当然更好，如果你不擅长不擅长技术，如果你可以学的话，那也可以学一下技术，技术技术必须可以帮你做。

zFish(00:37:32): 很多事情帮你做分析，帮你做做一些这个节省时间的一些工具啥的。然后然后这这是技术，然后对普通人的一些意义。啊对对对创业者来讲，他当然也是一个饭碗了，每个人都有自己的饭碗，然后中间肯定是你最擅长的。

zFish(00:37:49): 然后这几次我觉得始终是需要研究投资。不见得你非得去投资这个A股是啥股票啥啥的。那你投资指数也可以，投资加密货币也可以，比如说投资房地产也可以。

zFish(00:38:02): 但我当时提到了一点，就是说啊我我对他思考在这篇文章里面提过，假设。如果你这你全家人的资产全部都是现金。

zFish(00:38:13): 你没有买房呢肯定很很蛋疼。因为因为明显政府在通过不同的疫情，然后呃包括算一次刺激啊，然后美国现在都有就是然后实际上都是通货膨胀。

zFish(00:38:26): 人类通过通货膨胀去解决很多经济问题，说白就是把这个经把目前的经济问题通过通货膨胀去延到下下一下下一轮周期了。然后不断地结。

zFish(00:38:38): 泡泡沫能不能能不能在不断下移的过程中降低或者说是爆炸。那那你如果手持大量的现金，然后老是说现金为王，说你现金为王也很蛋疼。如果你没有好的投资渠道的话，你现金上就是待宰的绵羊，你不断的去因为因为你是法币吗。如果你如果比如说你是加密币，可能还会好一点儿，毕竟不受这个突破膨胀的这个细节，然后然后那你那你这时候不借不借个资产，假设你通过学习和你的擅长的主页。

