zFish(00:00:00): 我点个木质。
zFish(00:06:00): 提到了人生可以有非常多的目标。比如说我们有购房，然后子女教育，上老人购物车什么提前娱乐退修正。自己的目标会有非常多的。然后可能可能有个最终比较大的目标，比如说不上班的是体面的养老，然后这是一个比较大的目标。那我们怎么通过这几种途径去去做。

zFish(00:06:23): 然后这这是第一次会议纪要，这个这个主要介绍的一个一个点。那我第二次的话，我希望就说我们去研究一下研究一下这个这个这个技术这一部分我们。

zFish(00:06:37): 我们可能掌握了非常多的机会。在公司里面或者说是有些人业余时间哪怕你不是做程序的，然后你可能也会去研究研究怎么通过技术去提升你的这个效率，所以我把技术在这里面一直一直归结于一种时间到达这个时间怎么理解一方面就是你做一些事情，然后他。

zFish(00:07:01): 他把你的时间然后给降低了，然后重复性的一些劳动可以去通过技术去解决。另外一种就是说可以通过技术去增加你赚钱的这个效率。比如说你通过各种的产品一些工具，然后他获取获取钱的这个效率会比较快，从时间的角度看。

zFish(00:07:23): 我们人一生下来以后，什么都没有的时候，你有的只有时间，那相当于你通过这种方法把时间加速。所以所以这里面把它。归结为时间的一种杠杆，就是无论你做做不做。扎职做不做技术，只要你通过技术去缩短时间，然后获取收益，他就是属于时间的一种杠杆。

zFish(00:07:43): 然后但是整个扯这么多，然后最终就说我们怎么通过技术去赚钱。然后在里面订一个非常小的目标，怎么赚一美元。或者说是。一块钱人民币，这个听起来非常非常的简单。但是如果你能做到。那说明你已经迈出了第一步了。然后后面的话可能就需要怎么去。去去去琢磨，然后把他量化，把它扩大规模去做。然后在这里面我们比如说我们分为国内国外，国内赚的就是人民币了，国外赚的是美刀就是美元。这里面的话我想想国内我们先讲一讲这个。国内吧，国内国内这个这个大家都比较。比较了解一些，比如说国内，然后怎么通过国内去转，转了个100元要把人民币呢。假设比如说国内。

zFish(00:08:42): 一组显而易见的方法，比如说通过。成功通过就是有点儿小。

zFish(00:08:57): 假设我们国内做人事外包。不。这个事情。战斗的可肯定是要比人民币多得多。但是比如说你你替别人解决一个非常小的一个问题做外包，然后另外就说为什么我分个大块儿的样子。

zFish(00:09:36): 我有空儿空气。那你就说快包吗，这第二个就是说给人做咨询。

zFish(00:09:56): 只大不这个咨询其实最立场的广，并不是说那个天下非常高大上，然后就是很复杂的样子。

zFish(00:10:06): 然后这个这个大坑觉得很难。比如说你了解一个你你你做庄，你做过装修，然后别人不了解，然后别人想要去找先抓住那些经验啥的然后你给别人去分享，然后收他一点一点钱，就是他不买你一个小时，他给你。

zFish(00:10:23): 几百块钱这也算，但是你们发再多做咨询，然后比如说。有个问题就是说他真的只是用来那个杠杆效率比较低。

zFish(00:10:39): 没有高考怎么说呢，你说一笑。低效的这个科学方法，OK。

zFish(00:10:55): 如果针对这个大家有不同的看法可以直接提。然后标志说，我我感觉我。

zFish(00:11:01): 虽然我一直在讲单口相声，但是很多时候就是说我说的多的话，我肯定想的也多。如果你你也能讨论的话，你可能对自己。没有比较好的方式，就是对这个问题思考了什吗。别吃辣，有声音吗。你们现在能听到吗。

zFish(00:11:21): 我上这种形式，这种形式就比较慢，他可能就是边做边思考。然后我们现在就是花时间，然后然后然后去解决这个问题。这个问题可能一开始大家都没有答，然后可能通过一些。

zFish(00:11:35): 一些头脑风暴，或者说是一些梳理，然后大概就就就有一些思路。其实你写文章包括你去做一个事情，大部分情况都是这么去做。我把它盛一种低效的发型方式。比如说。

zFish(00:11:51): 做外包做外包哪怕你报价高一点儿，比你比如说你的工作实习100块钱，然后你做外包比如乘以两倍，然后咨询可以乘以三倍。更高。

zFish(00:12:03): 然后这个这个但是就是说他们始终是你通过这个固定的时间，你有多少时间你可能就赚多。然后假设假设需求不断，就是说一直有人去找你做。那搞着搞着你就发现这这开始上班了吗。上班儿不也是某种方法去做的，只不过上班儿可能是比较平缓的，然后这个这个。这这这两者可能属于你波峰波谷比较多，波动比较大吧。另外一种就是。

zFish(00:12:37): 我就这么说吧，一下也不说做项目，唱吧。它是一种那个做做项目的方式，然后另外一个就是做产品。现在竟然与斯卡做产品。

zFish(00:12:56): 这个产品的话，那这个就非常多了。做产品然后做产品彻底。

zFish(00:13:10): 做过产品，做做一个小程序。这是大家想得最最多的，做一个工具。做了一个小工具，然后。把这个圈子吧。

zFish(00:13:35): 这种方式的话，做小程序，做做做小工具是这种。这个应该是一种那个。

zFish(00:13:48): 流量40 G流量去赚钱。然后包括比如说做一个小工具，做一个这个小老大。我知道。

zFish(00:14:06): 小公小程序的话很明显依托于那个腾讯的生态，然后随便做一个做一个。就是说这里面特别多。大家比如说有些游戏啥的，还有一些那个那个那个各种手工具这个跟第二个有隐私重合，如果小工具可能以程序可能APP可能以网站的形式，然后去去去存在，那那比如说那我们这个做一个。

zFish(00:14:35): 去看这种其实都是一样的，都是都是做做工具，然后怎么变现。小程序小程序接接接那个。

zFish(00:14:45): 接那个腾讯的那个那个流量主，然后这个然后广告主在你在那小程序里头，广告不是人家开屏广告什么之类的视频，然后都可以去接。然后甚至你可以如果做大的话你可以在里面加一些barberbarber，然后去给别人办然后这个这都都可以的。然后通过这个方法，然后赚赚赚钱也是可以的。然后APP也是APP的话，Ios然后有那个很成熟的一个生态，你只有一个进来。然后通过这种方法，然后炸。

zFish(00:15:24): 赚钱也比较容易，网站网站怎么去那个APP跟那个小程序都有各自的这个大的公司，依托网站的话，然后我们也很多国内国内的网站比较比较明显的就是一个就是说你切那个。

zFish(00:15:40): 我说说的是国内的国内国内的生态。那之前百度的那个百度的广告系统了，我忘了叫叫叫啥名字了，复仇还是啥，谷歌是那个ad的adsense，然后这个百度的话。

zFish(00:15:55): 但这个人有问题，你这个国内网站这个这个这个这个CPM或者CPC特别的低，而且这个变现会比较困难一些。那那另外一种方式就是说假设你网站有流量，你可以通过导游的形式倒一倒。

zFish(00:16:10): 你的什么公众号，然后通过启动或者说说你这个微信群啥的，然后通过其他方式去编写。然后这本质上是直径，是肿瘤要素。然后就说做那个做空气吧，不要做产品的产品力说。然后还有一种就是做产品。

zFish(00:16:37): 六号。

zFish(00:16:39): OK付费。

zFish(00:16:44): 用户用户付费，用户付费里面生态比较好的话，其实这几者里面，小程序里面用户付费我。我见的比较少，大部分小程序还是通过流量去做。但是APP里面，然后这个。所以我们爸爸就不在这里面放安排，也放放进去。也可以去接广告厂。然后这个做一个APP的话，然后也可以就是说。

zFish(00:17:14): 你你你直接然后然然后去找用户，然后做订阅，然后或者说是别人直接买你的APP。然后你都可以。然后我这儿的话，我这儿也也有很多这个网站里面。然后你通过建立这个付费体系让别人去，比如说你有一个投资投资组合管理的一个网站。举个例子。

zFish(00:17:36): 然后别人别人别人别人在里面，然后建了很多组合，然后别人卓越的时候，然后那就就按年订阅或者按月订阅都都可以，这种也是一个途径。然后就是我就是。

zFish(00:17:54): 产品的朝用户收费。项目，然后工具，然后产品，然后这个这三种滴血而已的那种方式。然后我们再梳理一下，然后这个他在苗还有还有一个票据也写着，我都忘了做自媒体就是没钱。

zFish(00:18:23): 自媒体做一个公众号，这是一个比较明显的。然后做一个那个社交，社交。

zFish(00:18:40): 做自媒体。

zFish(00:18:47): 这个比较明显就是说你那个你最多，然后也是可能通过那个流量，然后去赚钱。然后或者说是给别人打广告，或者是卖课，然后通过一些athlete，然后去去去别写。我觉得Kate是两米F。这个正常咋咋醒来着，大腿在。我们去赚钱了，估计他也比较了解，各种淘宝客干的都是这个意思呢。这个事情。这么这么说下来，好像有点儿有点儿。泛泛而谈，因为大家都知道。怎么去做，但是方法摆在那里面，我我们也不能免俗，只能通过这种方法去。是这样，国内国内，然后做自媒体，通过技术去赚钱。通过，技术好，只能通过这种方法。看看这个国外有哪些。

zFish(00:19:58): 管理你吧，管理社交媒体。然后让别人给你打赏，打赏。打赏这个东西。和自媒体差不多。做自媒体，然后做一个博客。

zFish(00:20:19): 不是说写文章靠打赏打赏，这也也算是一种方式，如果你要赚一块钱的话，这个也是比较容易的。

zFish(00:20:38): 我们先把法师列出来，然后再对比一下，这不知道是哪些他他的一些优劣啥的。骚老婆。这里有一技能我都服了，为什么会陆陆续续。那checklist。

zFish(00:21:02): 卖东西，卖东西，卖东西本质是就是ipad能给别人卖各种东西。比如说。然后别人给你通过一些销售，提车啥的。然后就跟这个自媒体挺像的。你给别人去打广告。

zFish(00:21:18): 然后一种是通过流量的，另外一种就是说通过变现然后产生多个订阅，然后能通过这种方法然后去跟进你，给你赚钱。目前来说，这个技术相关的，我们有些非技术方法在这里就不提了。三楼都是，然后卖各种东西。设计一个吧的。卖作品卖作品好像也是一种方法。做产品。做一个APP，那个APP好像挺累似的。

zFish(00:22:01): 主持一个会议，叩齿他人，叩齿叩齿他人跟着做咨询，感觉差不多。然后主持一个付费的，一个是一个会议。上。这个比较少见，好像没见过。那那感觉就是相当于卖票吗。然后。国内的，国内的跟国外的都差不多。然后邮件列表，邮件列表也是一样的。我把那个。我把他他承受一点是吧，行张，由于现在也算一种，其其实就是通过写作。

zFish(00:22:46): 写作然后去跟写作不太一样，就是说他是邮件列表的转化一发统计上来讲会更高一些。转发会比较用户比较忠诚，能订阅你邮件的邮件对你的这个其他程度或者对你信任程度会更高一些，然后你快。这种这个方式。

zFish(00:23:11): 国外国外国外做的人还是挺多的。如果你如果你构建了一个人给邮件列表，然后假设有1 000人订阅，然后一直在关注关注关注你写的东西，然后那你那你通过那个。船上一些广告，或者说是然后推推广一些东西，然后效果是比较好的。

zFish(00:23:32): 跟这个本质跟他做自媒体差不多。其实公众号跟那个邮件列表特别的像。然后不是你，只不过是你通过那个微信去订阅，而不是通过邮件去去去订阅。扣除卡死了，卡死，卖书卖书。最后发现做做做自媒体，然后是这方是最多的，然后你写书，然后卖书卖卖电子书也是一种方式。转化推特。估计一个发型共建一个SaaS服务。做一个算了。

zFish(00:24:19): 这个有有比较有难度，上次服务，服务做起来可能已经不是一个小产品，可能花时间比较多。

zFish(00:24:30): 然后不过应该是有这些有有这些那个内机市场就是一些特别小众的一些市场里面。有这种需求的话，应该可以找到你去付费用户。这里面的。这里面都是在说怎么去做。其实对。

zFish(00:24:50): 搞技术的人来讲，做是最简单的。找你有时间，找你找你有经历，然后然后你都可以把它做出来。然后一个难点就是。怎么推广，这里面可能遇到了更多的问题，就是我们把它写下来，就是有一个。比较大的一个问题，比较给他来个。休息。用这个才有真正的效果，一会儿苹果。

zFish(00:25:36): 如何推广这是个难题。

zFish(00:25:53): 如果如果你只是为了赚一块钱的话，这个推广应该也不需要怎么处理，随便找一些人，然后正好有一个人愿意付费，你就赚到了一块钱。但是。

zFish(00:26:05): 我们肯定希望的是怎么把这些东西要给做大，然后让更多的人看到。其实这个做做推广是一个非常复杂的问题。

zFish(00:26:17): 大部分情况我们赚的钱其实都在解决这个推广的问题，只要你只要关注你的人足够多的话，你始终可以找到这种赚钱途径。关键问题就是怎么去推广，我觉得我觉得私聊。

zFish(00:26:34): 我觉得这个会议最大方一点就是认识云干性的。

zFish(00:26:43): 你有什么办法，下次给他设置那个不晓得，随随随说就行了。那你先叠来叠去怎么去推广。能想到的直接的方式就是去吧。协作。

zFish(00:27:12): 写作我。做视频，然后无非就是说在获取流量。然后因为这个。

zFish(00:27:29): 如何推广。写作是一种方式。

zFish(00:27:51): 这种方式就是。做视频，其实都是一样的。

zFish(00:28:08): 等一下。我被炸死。

zFish(00:28:14): 重点无非就是，免费流量，免费流量跟付费了两种方式吗？免费怎么样？你不知道。这是一个图一，这是一种。

zFish(00:28:46): 免费流量的话比较多，骂，写文章。然后获取粉丝用户。

zFish(00:29:04): 很直接的一种方式假设，比如说你在做一个产品，在做一个工具，解决了某某类型特定的一个问题。

zFish(00:29:17): 那比如说你做的这个工具解决这个问题的话，那你第一步可以在需要通过写文章然后去，阐述你的这个解决问题的这个就是解决了什么痛点。然后做一个登录页，然后就是拉丁配置，然后或者是写写一些文章，然后围绕着整个工具，然后去去去好。写好以后然后给他发布到各种社交的问题，然后其不让发布到社交媒体。然后第三步，找张大为吧。

zFish(00:29:54): 找韶关李大威，领域大为互动，因为我们是在找那个免费流量，所以我们肯定不是找大V，直接去付费推广。

zFish(00:30:07): 怎么糊弄也是个技术活儿。如果你做的工具，然后解决了他们的一些相关领域的大V，然后解决他们的痛点。

zFish(00:30:16): 然后如果你你让他们指导或者艾特一下他们啥的，提示一下他们。然后或者说直接发信息啥的，然后让他们看到他们可能会给你去推广。这个这个实际上这个手段特别特别特别多。关键是看你，就看你做不做。然后或者发到各种群里面啥的，然后一些。太痛了，根本都不舍得下一次不搞得合适。

zFish(00:30:50): 然后互动，这是这是一种方式，这是一种比较比较快的这种方式，慢走方式就是做S。75呢又涉及到这个Su流量了Su流量怎么去搞

zFish(00:31:08): 使用这个本身比较慢，然后包括这个博客也是，然后他流量会特别的慢。然后就是你。正常正常，你要在一个领域里面，然后去让缩水一起去。

zFish(00:31:21): 觉得也就获得获得他的认可。然后比如说让让让某个关键词，然后你做的这个工具，然后我们举例子，所以那个付款为例。然后如果你搜那个书本的话。然后比如说。

zFish(00:31:37): 你看书本儿是一个那个网络调试工具，但是大家主要用运用它，然后用来翻墙。然后呢他这个例子里面，我我。

zFish(00:31:48): 就是说如果你你你做那个网站，然后你你搞了一个工具，这个工具如果还不错，或者说是他解决了比较多的人的问题。然后那你那你那你要做的肯定是做一个官网，然后然后把这个词然后如果能推到第一，推到最前面。然后那你可能就。

zFish(00:32:09): 可以获取很多流量，一般来说这个这个这个搜索引擎第一页，然后这个这个第一个位置可以获得超过一半的点击率流量。然后那个词的搜索词比较大，那书本儿这个有个问题，就是他的名字起得不是很好，我现在讲的比较细吧，然后就说你你娶了一个书本，然后书本儿上这个这个本身。本身这个词可能比较普通的话，前面会有一堆那个那个那个词典。然后你可能如果你请了一个跟那个。

zFish(00:32:47): 就是普通的词可能根本干不过这个这个前面这个大战，如果你这个词稍微比较特殊一点的话，可能直接排到第一了。但是好处在于谷歌好像。

zFish(00:32:58): 识别到这一点，这边这边它就识别成应用程序，然后GIOS 9，而且有几百颗。然后这个这个都是都是你需要做的。构建一个什么百科页面啥的，然后去获取流量，这个时候用户可以在他这个页面，然后去购买，所以心里SUSU这一点的话，然后比较慢可能需要不停的去做。啊哈OK，然后这是一个免费流量的一种方式。然后就是付费流量的话，这个部分有点比较简单。

zFish(00:33:40): 付费流量的话，就是付费里面的一个核心点在于找到合适的平坦。

zFish(00:33:51): 比如说你要你如果你如果希望因为不同的这个这个这个这个平台，然后就是合适的。

zFish(00:34:01): 付费推广平台，不同的平台有不同的这个特点。比如说搜索流量比较精准，但是搜索流量比较贵。百度的一个一个一个词条搜索词条。

zFish(00:34:15): 可能好几十块甚至上百了。就是说如果如果如果如果这个搜索带来带给你带来一个用户，这个用户没有找到的话，这这笔钱就就就彻底变成一个亏损了，比如说如果你做了一个旅游商会的一个一个一个。服务，然后你想要去获取旅游的人群，那些那个。

zFish(00:34:36): 数据吗，然后他们大部分可能可能在上海人说三亚旅游啥的，三亚旅游然后什么票就这么就这么一搜，然后前面比如说。我不用复杂，我找到了这个词条，就是你推广词条，然后点进去，然后最后。把它点进去，然后填，填写了一些信息啥的以后。

zFish(00:35:00): 比如说你一个一次付出50块钱，然后如果这个用户没有购买的话，可能就废了。那有些渠道的话，比如说抖音，然后一些那个腾讯的广点通，然后可能用户群体不一样，然后更年轻化，然后更加。就是更加适合你这个产品，那你一定要，就是也有好许，你到底要去哪里？去付费推广？找到合适的这个。不飞推广平台，然后再就是测试，买料。

zFish(00:35:38): 如果如果你发现你投入了这个怎么怎么测试的。如果你比如说我砸进去1万块钱。

zFish(00:35:47): 我为了赚一块钱实在没必要砸那么多广告。但如果你要搞大的话，你比如说你砸了1万块钱买了啤酒喝进来，然后最后通过一些那个测试的方法，比如说调整这个推广语啥的，然后找到了这些用户，然后他们都付费了，然后你需要你需要测算一下到底合不合划不划算，如果你的利润比较高的话。也可以通过这种方式，然后可以很快的去买到靓测试买了然后再就是扩大。

zFish(00:36:15): 规模，扩大规模，然后这可能就是如果一旦找到一个合适的一个一些参数条件啥的，然后你可能直接去。

zFish(00:36:24): 把你们这个买量然后扩大了。比如说一天花一天花2万块钱，3万块钱，找到一个平衡点，然后不断的去。去推广这些东西就行了，大规模扩大规模，这这个。

zFish(00:36:42): 这个就是一个付费相关的一个简单介绍一个。那个都挺复杂的。如果你要做得好的话，那可能可能跟我不是这么短时间就能解释清楚，也不是我我一个人能够解释清楚的。然后就是这是推广的这个。推广的两种方式，那我们现在就是说我们饿死了。因为推广是一个老大难的问题，我想着已经属于啥呢？属于坏的吧。

zFish(00:37:35): 放在这儿，我回宾馆不可能。我要做的事。

zFish(00:37:54): 免费领。

zFish(00:38:22): 行。这么看起来好像稍微。

zFish(00:38:32): 稍微正常点儿，国内也是这样子的。

zFish(00:38:38): 我觉得另外一点就是做自媒体。

zFish(00:38:49): 我现在还有30个人在这32个人赛怎么样老婆应该已经进来了。

zFish(00:39:00): 聊了将近有40分钟了，我们才搞了这么一点。然后关于关于这个东西大家有没有一些要补充的或者是觉得有疑惑的。如果没有的话，我们就到国外了。国内的话。感觉最后所有人都在做自媒体。哪怕你要做一个产品，你可能也需要做自媒体。然后去推广，做工地，做像卖包，做咨询。

zFish(00:39:37): 如果没有的话，我们就到国外。国外知道。国外这个生态比较特殊，跟我们国内还不太一样。国外的一个特点就是说。工具有办法并列为公司很多工具不可能违规，你说的工具是打擦边球那种才有可能围观。比如说。

zFish(00:40:02): 不过你提到了一个非常复杂的一个问题，国内这个环境越来越恶劣了。就是其实通过多方面的渠道，然后我我现在这个国内的这个环境，文件搜索是有可能违规的。

zFish(00:40:20): 这就是国内做做做做产品，做工具。麦汁付费你是会的，除非你不断的去。

zFish(00:40:30): 换一下马甲啥的，然后做的规模很小，一旦你被盯上的话，真的有可能给你带进去喝茶或者说是承担巨额的这个律师诉讼费。所以这个国内有个很大的问题，跟跟国外有点好处，你你在人在国内去做国外的一些东西，然后因为一些那个违规的问题的话，不至于影响你的人身安全。

zFish(00:40:51): 所以法规这个东西。我觉得一个很那这样子吧这样就就就加了加了三个圈儿也不在家一圈吧我靠变成变成奥运奥运滑OK。

zFish(00:41:09): 法律法规吧。你要去通过赚钱的话，这个东西一定要研究。要做投资的话，一般来说你鱿鱼。

zFish(00:41:20): 投资监管的这个方面一定要全面的，所以不太至于。然后因为因为不懂一些法律法规把你带进去。就说因为如果你如果你因为大部分人都是普通投资者也不会有问题。但是你自己自己先变现，然后会有很多法律法规的问题。这里面这里面法律法规什么公司公司规定都有，因为现在说就是说你利用业余时间去做，所以这里面可能确实都有一些比较复杂的问题，一方面就是说。

zFish(00:41:52): 一方面比较说这个。

zFish(00:41:57): 法律法规。哪哪个要点吧，就安全问题，我把它归结为安全问题。安全问题的话，法律法规是一个。

zFish(00:42:12): 是一个大同，熟读民法，甚至有时候你可能会违反，违反一些刑罚或者是计算机一些法律。因为法律也不是很懂公司规定，公司就不是犯规了。公司有很多公司的规定。

zFish(00:42:31): 这里面法律法规法律法规最国内最明显的一个就是说爬虫爬的好。楼上吃到饱。那如果你要去做一些爬取信息的话，这是一个非常敏感的话题。尤其是你怕国内的。

zFish(00:42:52): 爬虫知识产权吧法庭。比如说产生的问题，就是说你做一些那个文件。字也不影响，也不影响，然后这这可能违规。然后另外一个就是说你去窃取别人资源，知识产权。1 . 18。

zFish(00:43:23): 然后知识产权资源分享，另外就说，这很明显，各种。各种秒盘啥的，网盘分享，然后另外一个就是说那个。怎么说呢，我怕下载，营销。这是一个比较明显的一个问题。第二个就是。卡窃取子女。

zFish(00:44:03): 爬虫里面，最底下的就是爬虫。

zFish(00:44:10): 知识产权的问题，第二个是啥？奶茶，那些。知识产权另外，另外另外会有哪些问题吗。

zFish(00:44:31): 我这比较明显的问题就是破解。你说说的对，破解也属于一种。如果如果如果一个正版的软件然后你要破解它，要不然分享出去你也是违规的。第二个就是。

zFish(00:44:54): 第二个是商标的东西，你可能然后去做了一些东西，然后刚好跟人跟人的。假设你获取到了一定流量的，然后你。

zFish(00:45:05): 你该你用的是别人的商标，然后然后最后被被人告了，然后赚钱可能可能也全部over。

zFish(00:45:15): 商标商标问题，然后这是一个比较明显的三句，是。它真的是法律特殊规定。

zFish(00:45:27): 隐私也是一种隐私，属于是。你是做跟那个用户相关的，或者说做一些数据分析，可能不会。如果一次现在这个。

zFish(00:45:42): 大数据版权问题，其实属于知识产权。版权问题，不过也可以，但是大全问题。

zFish(00:45:57): 法律的一些特殊规律，然后大数据分析这个分析，这可能会牵扯到一些。一些那个反馈，不过如果你做的规模特别小的话，应该没有这个问题。另外就是说国内的法院有很多。

zFish(00:46:17): 模糊地带、不清楚地带，试试你的营销规模，然后去去定性。假设你如果做得很大的话。可能有非常多的法律问题导致的，所以在这个这个国内，所以现在这个滑稽的比较比较难一些吧。是因为越来越正规了，以前这几个野路子可能就行不通了。这是法律特殊规定，这是一个姑恶孤儿。那个特殊规定会下架，如果你做了一个。克隆战一个流浪站，然后也会侵犯用户的隐私。用户隐私其实这条。

zFish(00:47:01): 这条我我都遭遇过，我直接坐那个流量站的，然后告诉我然后不能把他的这个east group的一些资源给copy过去，然后让我直接删除然后发邮件。所以怎么规避，规避的话法律法规规避的话规避。

zFish(00:47:20): 我现在能想到的一个点，是说。

zFish(00:47:26): 法律法规法律特殊规定怎么规避。那就再加一条儿吧。这个白马子越画越丑了。

zFish(00:47:48): 我很闺蜜。

zFish(00:47:57): 四千四，做之前先了解该领域。跟美女，法律法规，然后第二个就是说。

zFish(00:48:25): 按摩。

zFish(00:48:27): 那么少不大，第三就是说很可能做活儿。国外的业务，跟他学一下。

zFish(00:48:44): 公司的问题在这边，然后我妈没有提到，就是公司的确会有很多规规定。因为这个之前与知名的软件然后成立那个创始人，然后一个公司然后被被抓了，啥就能做国外业务，然后再就说做好打拳视频。

zFish(00:49:09): 然后第五点就是刘恒，阿刘。

zFish(00:49:15): 联系方式可以与信息泄露，就说你可以给你的网站产品的，然后有一些联系方式，一旦侵权别人肯定很快联系到你。而这也会让你有机会去处理，不至于让问题变得很复杂。看一下。

zFish(00:49:42): OK，我觉得这个这种方式的好处就是。一开始我们可能根本想不到一些问题，但是随着你决定的去拓展他的时候，可能会考虑的问题比较多了。版权盛也是。

zFish(00:50:00): 你可以把这个版权，然后你看很多之前以前那种下载，然后是盗版电影什么仅用于测试啥的，需要这个声明。然后其实如果做大了，然后。根本没说清楚，但是有总比没有好。

zFish(00:50:17): 然后就说，这个声明也是有的。毕竟如果问题比较小的话，可能可能也别人也会考虑到你。你就做过什么，有道付费，然后版权问题，外部与个人隐私破解做到了会有很多问题，是国内国外还好一些。

zFish(00:50:40): OK公司规定得去。

zFish(00:50:47): 公司规定的话怎么说呢。

zFish(00:50:53): 了解公司规定。

zFish(00:51:03): 这第一步到第二步，然后。哎呀不要使用公司资源，这里面牵扯到的网络去刷机，然后还有那个。信信息对就是。没有什么公司资源，然后牟利吧。第三然后就是在。

zFish(00:51:44): 上班儿在下班儿后做，关于这一点然后就是了解公司规定是否允许没事开甲自己的业务。

zFish(00:52:08): 这是一点，这里面其实有两个方面。一方面是是否允许下班之后做，有些公司不允许在下班之后去做的，然后有一些。条款啥的给他签了一些那个协议啥的呢。这个。

zFish(00:52:22): 这种的话这种公司的话福利特别好。否则的话你可以考虑换哪个公司了。另外就是说不要使公司的资源去磨砺。你可以来学习，上这个公司也不管，然后但是你有点儿赚钱，尤其是你要赚的钱比较多的话呢，这是一个非常严重的问题。然后再就是不要占用公司的这个时间啥的。然后这是一方面。然后还有一些就是我觉得比较重要的。

zFish(00:52:52): 不要做和公司同志的业务。

zFish(00:53:00): 那就说与公司竞争，与公司避免。与公司避免广告公司竞争。然后。最好男女公司不专业，没事儿沟通了解下。好像是第第一条儿，有一些那个女性的一样的一样的点，但是这个这个就这么先写着吧。关于这一点的话，大学生补充。公司规律这块儿往下了解这么多。

